name,address,year
Di Meng,"Univ S Dakota, Sch Med, Dept Biol, Coll Arts & Sci,Div Basic Biomed Sci, Vermillion, SD 57069 USA",2006
"Liu, Yongcan","Univ Cambridge, Cambridge, England",2006
"Lin, GA","Washington Univ, Sch Med, Div Med Educ, Dept Internal Med, St Louis, MO USA",2006
"Lin, GA","Barnes Jewish Hosp, Dept Internal Med, St Louis, MO 63110 USA",2006
"Huang, Zhihuan Jennifer","Childrens Natl Med Ctr, Diana L & Stephen Goldberg Ctr Community Pediat H, Washington, DC 20010 USA",2006
"Huang, Zhihuan Jennifer","George Washington Univ, Sch Med & Hlth Sci, Dept Pediat, Washington, DC 20052 USA",2006
"Huang, Zhihuan Jennifer","Univ Calif Davis, Sch Med, Gen Clin Res Ctr, Sacramento, CA 95817 USA",2006
"Huang, Zhihuan Jennifer","Univ Calif Davis, Sch Med, Dept Pediat, Sacramento, CA 95817 USA",2006
"Huang, Zhihuan Jennifer","Georgetown Univ, Sch Nursing & Hlth Studies, Dept Int Hlth, Washington, DC USA",2006
"Huang, Zhihuan Jennifer","Childrens Natl Med Ctr, DC Baltimore Res Ctr Child Hlth Dispar, Washington, DC 20010 USA",2006
"Wang, M.","Univ Kansas, Lawrence, KS 66045 USA",2006
"Wang, M.","Rowan Univ, Dept Special Educ, Glassboro, NJ USA",2006
"Wang, M.","Natl Disabil Author, Dublin, Ireland",2006
"Yun, John T.","Stanford Univ, Sch Educ, Stanford, CA 94305 USA",2006
"Yun, John T.","Univ Calif Santa Barbara, Gervitz Grad Sch Educ, Santa Barbara, CA 93106 USA",2006
"Yun, John T.","Univ Calif Davis, Davis, CA 95616 USA",2006
"Le, Huy","ACT Inc, Div Res, Iowa City, IA 52243 USA",2006
"Le, Huy","Human Resources Res Org, Employment Assessment & Dev Div, Orlando, FL USA",2006
"Le, Huy","Univ Cent Florida, Dept Psychol, Orlando, FL 32816 USA",2006
"Bi, Hilda","Univ Colorado, Hlth Sci Ctr, Sch Pharm, Denver, CO 80262 USA",2006
"Huang, WH","Purdue Univ, W Lafayette, IN 47907 USA",2006
"Huang, WY","Purdue Univ, W Lafayette, IN 47907 USA",2006
"Wang, Yan","Georgia State Univ, Atlanta, GA 30303 USA",2006
"Bing, Thomas J.","Univ Maryland, Dept Phys, Phys Educ Res Grp, College Pk, MD 20742 USA",2006
"Wu, Su Hui","Univ Hawaii Manoa, Manoa, HI USA",2006
"Chang, Ni","Indiana Univ, South Bend, IN 46615 USA",2006
"Lu, Yun","Univ Nebraska, Dept Teaching Learning & Teacher Educ, Lincoln, NE 68588 USA",2006
"Lu, Yun","Univ Nebraska, Dept Phys & Astron, Lincoln, NE 68588 USA",2006
"Lu, Yun","Univ Nebraska, Off Qualitat & Mixed Methods Res, Lincoln, NE 68588 USA",2006
"Min, Sujung","Kongju Natl Univ, Gongju, South Korea",2006
"Chu, Won-Shik","Seoul Natl Univ, Sch Mech & Aerosp Engn, Seoul 151744, South Korea",2006
"Chu, Won-Shik","CSCAM, Kwangju 505757, Geonnam, South Korea",2006
"Chu, Won-Shik","Gyeongsang Natl Univ, Div Ind Syst Engn, Jinji 660701, Gyeongnam, South Korea",2006
"Chen, Timothy F.","Univ Sydney, Fac Pharm, Sydney, NSW 2006, Australia",2006
"Yu, Tian","DYouville Coll, Buffalo, NY 14201 USA",2006
"Zhu, Hong","Commitment Training & Employment Women, Winnipeg, MB, Canada",2006
"Chen, Ang","Univ Maryland, Dept Kinesiol, College Pk, MD 20742 USA",2006
"Chen, Ang","Univ Maryland, Dept Measurement Stat & Evaluat, College Pk, MD 20742 USA",2006
"Li, Han","Univ Calif Los Angeles, Dept Social Welf, Los Angeles, CA 90024 USA",2006
"Tan, ECTH","Radboud Univ Nijmegen Med Ctr, Dept Gen Surg, Nijmegen, Netherlands",2006
"Tan, ECTH","Elisabeth Hosp, Tilburg, Netherlands",2006
"Song, Bailin","CUNY Kingsborough Community Coll, Dept English, New York, NY 11235 USA",2006
"Tan, Charlene","Nanyang Technol Univ, Natl Inst Educ, Nanyang Ave, Singapore 639798, Singapore",2006
"Chu, Simon","San Diego State Univ, Dept Chem & Biochem, San Diego, CA 92182 USA",2006
"Chen, Chuansheng","Univ Calif Irvine, Dept Psychol & Social Behav, Irvine, CA 92697 USA",2006
"Li, SH","Texas A&M Univ, Dept Elect Engn & Comp Sci, Kingsville, TX 78363 USA",2006
"Ou, Suh-Ruu","Univ Minnesota Twin Cities, Inst Child Dev, Minneapolis, MN 55455 USA",2006
"Zhang, Xiaodong","Westat Corp, 1650 Res Blvd, Rockville, MD 20850 USA",2006
"Wen, H. Joseph","Southeast Missouri State Univ, Harrison Coll Business, Dept Accounting & MIS, Cape Girardeau, MO 63701 USA",2006
"Chen, Liang-Hsuan","Univ Toronto Scarborough, Dept Management, Accounting, Toronto, ON, Canada",2006
"Man, Michelle","George Mason Univ, Ctr Cognit Dev, Fairfax, VA 22030 USA",2006
"Xing, Tao","Fluent Inc, Lebanon, NH 03766 USA",2006
"Xing, Tao","Cornell Univ, Ithaca, NY 14853 USA",2006
"Xing, Tao","Iowa State Univ, Ames, IA USA",2006
"Xing, Tao","Univ Iowa, Ctr Evaluat & Assessment, Iowa City, IA 52242 USA",2006
"Xing, Tao","Univ Iowa, IIHR Hydrosci & Engn, Iowa City, IA 52242 USA",2006
"Lang, Josephine","RMIT Univ, Melbourne, Vic, Australia",2006
"Wang, S","Auburn Univ, Coll Engn, Dept Comp Sci & Software Engn, Auburn, AL 36849 USA",2006
"Tan, Mustafa","Gazi Univ, Gazi Egitim Fak, Ankara, Turkey",2006
"Qin, Dongxiao","Western New England Coll, Psychol Dept, Mailbox 5211,1215 Wilbraham Rd, Springfield, MA 01119 USA",2006
"Kang, Sang-Jo","Korea Natl Sport Univ, Dept Phys Educ, Seoul, South Korea",2006
"Kang, Minsoo","Middle Tennessee State Univ, Dept Hlth & Human Performance, POB 96, Murfreesboro, TN 37132 USA",2006
"Xu, Yaoying","Univ Wisconsin Milwaukee, Milwaukee, WI USA",2006
"Lang, Jeff","Univ Nebraska, 216 Mabel Lee Hall, Lincoln, NE 68588 USA",2006
"Lin, Anli","Harcourt Assessment Inc, San Antonio, TX 78259 USA",2006
"Pan, Wei","Univ Cincinnati, Div Educ Studies, Cincinnati, OH 45221 USA",2006
"Song, HD","SUNY Albany, Albany, NY 12222 USA",2006
"Song, HD","Penn State Univ, University Pk, PA 16802 USA",2006
"Song, HD","Syracuse Univ, Syracuse, NY 13244 USA",2006
"Wang, Shiang-Kwei","New York Inst Technol, Old Westbury, NY 11568 USA",2006
"Wang, Shiang-Kwei","Univ Georgia, Coll Educ, Dept Educat Psychol & Instruct Technol, Athens, GA 30602 USA",2006
"Wan, Yinmei","Univ Michigan, Ctr Study Higher & Postsecondary Educ, Ann Arbor, MI 48109 USA",2006
"Zhang, Ke","Texas Tech Univ, Instruct Technol, Lubbock, TX 79409 USA",2006
"Chao, Joseph T.","Bowling Green State Univ, Bowling Green, OH 43403 USA",2006
"Chao, Joseph T.","Bowling Green State Univ, Comp Sci, Bowling Green, OH 43403 USA",2006
"Yang, Samuel","Calif State Univ Fullerton, Fullerton, CA 92834 USA",2006
"Zhang, Yi","Calif State Univ Fullerton, Fullerton, CA 92834 USA",2006
"Li, Chaoyang","Univ Wisconsin, Dept Populat Hlth Sci, Madison, WI 53706 USA",2006
"Huang, Terry T-K.","Univ Wisconsin, Dept Populat Hlth Sci, Madison, WI 53706 USA",2006
"Li, Chaoyang","Univ Kansas, Student Hlth Serv, Lawrence, KS 66045 USA",2006
"Huang, Terry T-K.","Univ Kansas, Student Hlth Serv, Lawrence, KS 66045 USA",2006
"Li, Chaoyang","Ctr Dis Control & Prevent, Atlanta, GA USA",2006
"Huang, Terry T-K.","Ctr Dis Control & Prevent, Atlanta, GA USA",2006
"Li, Chaoyang","Univ Minnesota, Sch Med, Dept Pediat, Minneapolis, MN 55455 USA",2006
"Huang, Terry T-K.","Univ Minnesota, Sch Med, Dept Pediat, Minneapolis, MN 55455 USA",2006
"Li, Chaoyang","Tufts Univ, Gerald J & Dorothy R Friedman Sch Nutr Sci & Poli, Medford, MA 02155 USA",2006
"Huang, Terry T-K.","Tufts Univ, Gerald J & Dorothy R Friedman Sch Nutr Sci & Poli, Medford, MA 02155 USA",2006
"Huang, YP","Univ Missouri, Dept Educ Sch & Counseling Psychol, Columbia, MO 65211 USA",2006
"Huang, YP","Univ Florida, Dept Psychol, Gainesville, FL 32611 USA",2006
"Song, KH","Univ Missouri, Div Teaching & Learning, St Louis, MO 63121 USA",2006
"Wang, CCDC","Univ Missouri, Dept Educ Sch & Counseling Psychol, Columbia, MO USA",2006
"Huan, Vivien S.","Nanyang Technol Univ, Sch Humanities & Social Sci, Div Psychol, Singapore 639798, Singapore",2006
