Article_ID	WOS_ID	Year	Title	Authors	Addresses	Affiliations
7224	WOS:000257538600001	2007	Home language shift and its implications for language planning in Singapore: From the perspective of prestige planning	Zhao, SH; Liu, YB	[Zhao, Shouhui; Liu, Yongbing] Nanyang Technol Univ, Singapore, Singapore	Nanyang Technological University
7371	WOS:000213214700012	2007	From convergence to divergence: the development of mathematical problem solving in research, curriculum, and classroom practice in Singapore	Fan, LH; Zhu, Y	[Fan, Lianghuo; Zhu, Yan] Nanyang Technol Univ, 1 Nanyang Walk, Singapore 637616, Singapore	Nanyang Technological University
9056	WOS:000253902200006	2007	Adoption of educational technology ten years after setting strategic goals: A Canadian university case	Zhou, G; Xu, J	[Zhou, George] Univ Windsor, Fac Educ, Windsor, ON N9B 3P4, Canada; [Xu, Judy] Univ Alberta, Dept Phys, Edmonton, AB T6G 2G7, Canada	University of Windsor; University of Alberta
9393	WOS:000213212500003	2007	Chinese (Mainland) teachers' views of effective mathematics teaching and learning	Wang, T; Cai, JF	[Wang, Tao] Univ Tulsa, Tulsa, OK 74104 USA; [Cai, Jinfa] Univ Delaware, Dept Math Sci, 532 Ewing Hall, Newark, DE 19716 USA	University of Tulsa; University of Delaware
9799	WOS:000213212500005	2007	United States teachers' views of effective mathematics teaching and learning	Wang, T; Cai, JF	[Wang, Tao] Univ Tulsa, Sch Educ, 600 South Coll, Tulsa, OK 74104 USA; [Cai, Jinfa] Univ Delaware, Newark, DE 19716 USA	University of Tulsa; University of Delaware
10349	WOS:000245246400006	2007	Mixed Rasch modeling of the self-rating depression scale - Incorporating latent class and Rasch rating scale models	Hong, S; Min, SY	Yonsei Univ, Sch Social Welf, Seoul 120749, South Korea	Yonsei University
11451	WOS:000212639100009	2008	Understanding International Postgraduate Research Students' Challenges and Pedagogical Needs in Thesis Writing	Wang, T; Li, LY	[Wang, Ting; Li, Linda Y.] Univ Canberra, Fac Educ, Canberra, ACT, Australia	University of Canberra
12884	WOS:000257926100009	2008	College students' motivation toward weight training: An application of expectancy-value mode	Gao, Z; Xiang, P	[Gao, Zan] Univ Utah, Dept Exercise & Sport Sci, Salt Lake City, UT 84112 USA; [Xiang, Ping] Texas A&M Univ, Dept Hlth & Kinesiol, College Stn, TX USA	Utah System of Higher Education; University of Utah; Texas A&M University System; Texas A&M University College Station
14265	WOS:000212357300006	2008	Resampling methods revisited: advancing the understanding and applications in educational research	Bai, HY; Pan, W	[Bai, Haiyan] Univ Cent Florida, Dept Educ Res Technol & Leadership, Orlando, FL 32816 USA; [Pan, Wei] Univ Connecticut, Cincinnati, OH USA	State University System of Florida; University of Central Florida; University of Connecticut
14501	WOS:000251800600007	2008	Introducing smart structures technology into civil engineering curriculum: Education development at lehigh university	Zhang, Y; Lu, LW	[Zhang, Yunfeng; Lu, Le-Wu] Lehigh Univ, Dept Civil & Environm Engn, Bethlehem, PA 18015 USA	Lehigh University
